system,target,decoder_class,n_generated,n_human,auroc
trajectory,artifactbench,continuous_vae,200,860,0.9880581395348838
trajectory,artifactbench,griffin_lim,130,860,0.90283542039356
trajectory,artifactbench,rvq_encodec,90,860,0.9908010335917313
trajectory,artifactbench,rvq_xcodec,100,860,0.9832093023255813
trajectory,artifactbench,unknown_proprietary,884,860,0.8968325791855205
trajectory,echoes,continuous_vae,155,59,0.9870967741935484
trajectory,echoes,mel_vae_hifigan,172,59,0.9997043752463539
trajectory,echoes,non_neural,32,59,0.5609110169491525
trajectory,echoes,rvq_xcodec,111,59,1.0
trajectory,echoes,unknown_proprietary,272,59,0.8261465603190429
trajectory,fakemusiccaps,continuous_vae,1104,1102,0.8700879823246273
trajectory,fakemusiccaps,mel_vae_hifigan,3312,1102,0.8787053841500302
trajectory,fakemusiccaps,rvq_encodec,1104,1102,0.924756371814093
trajectory_centred,artifactbench,continuous_vae,200,860,0.9822906976744186
trajectory_centred,artifactbench,griffin_lim,130,860,0.8563327370304115
trajectory_centred,artifactbench,rvq_encodec,90,860,0.9906976744186047
trajectory_centred,artifactbench,rvq_xcodec,100,860,0.943046511627907
trajectory_centred,artifactbench,unknown_proprietary,884,860,0.8562414500683995
trajectory_centred,echoes,continuous_vae,155,59,0.9588846364133407
trajectory_centred,echoes,mel_vae_hifigan,172,59,0.995368545526212
trajectory_centred,echoes,non_neural,32,59,0.4597457627118644
trajectory_centred,echoes,rvq_xcodec,111,59,0.9969460986410139
trajectory_centred,echoes,unknown_proprietary,272,59,0.7607178464606182
trajectory_centred,fakemusiccaps,continuous_vae,1104,1102,0.8700879823246273
trajectory_centred,fakemusiccaps,mel_vae_hifigan,3312,1102,0.8787053841500302
trajectory_centred,fakemusiccaps,rvq_encodec,1104,1102,0.924756371814093
fingerprint,artifactbench,continuous_vae,200,860,0.9772848837209303
fingerprint,artifactbench,griffin_lim,130,860,0.8256708407871198
fingerprint,artifactbench,rvq_encodec,90,860,0.992764857881137
fingerprint,artifactbench,rvq_xcodec,100,860,0.9719883720930231
fingerprint,artifactbench,unknown_proprietary,884,860,0.8715431968851941
fingerprint,echoes,continuous_vae,155,59,0.9400765445598688
fingerprint,echoes,mel_vae_hifigan,172,59,0.9864012613322821
fingerprint,echoes,non_neural,32,59,0.5195974576271187
fingerprint,echoes,rvq_xcodec,111,59,0.9897694304473966
fingerprint,echoes,unknown_proprietary,272,59,0.8509471585244267
fingerprint,fakemusiccaps,continuous_vae,1104,1102,0.9463237131434283
fingerprint,fakemusiccaps,mel_vae_hifigan,3312,1102,0.8892168499083791
fingerprint,fakemusiccaps,rvq_encodec,1104,1102,0.9648703608721955
three_support,artifactbench,continuous_vae,200,860,0.9949127906976745
three_support,artifactbench,griffin_lim,130,860,0.8961538461538462
three_support,artifactbench,rvq_encodec,90,860,0.9998966408268735
three_support,artifactbench,rvq_xcodec,100,860,0.9986162790697675
three_support,artifactbench,unknown_proprietary,884,860,0.976040460907082
three_support,echoes,continuous_vae,155,59,0.9183160196828868
three_support,echoes,mel_vae_hifigan,172,59,0.9968466692944422
three_support,echoes,non_neural,32,59,0.430614406779661
three_support,echoes,rvq_xcodec,111,59,0.9491525423728814
three_support,echoes,unknown_proprietary,272,59,0.9416126620139581
three_support,fakemusiccaps,continuous_vae,1104,1102,0.9774561732291748
