system,target,family,n_human,n_generated,delta,ci_low,ci_high,sd
trajectory,artifactbench,MusicGen,860,90,-0.0026614987080103,-0.005322997416020714,-0.0007619509043927015,0.0011805097996918
trajectory_centred,artifactbench,MusicGen,860,90,-0.0046511627906977,-0.007403423772609813,-0.0024415374677001682,0.0012693353342343
mean_pooling,artifactbench,MusicGen,860,90,-0.0052131782945735,-0.009166828165374665,-0.002234819121446981,0.0017823799793048
attention_pooling,artifactbench,MusicGen,860,90,-0.0068604651162791,-0.011020994832041317,-0.0034491279069766814,0.0019488334899516
fingerprint,artifactbench,MusicGen,860,90,-0.0562532299741602,-0.08267829457364344,-0.03340600775193795,0.0128730799479254
three_support,artifactbench,MusicGen,860,90,-0.0080361757105943,-0.01892861757105941,-0.001498708010335914,0.0048100365304577
single_support,artifactbench,MusicGen,860,90,-0.0025452196382429,-0.004832041343669213,-0.0008520671834624607,0.0010202197650766
handcrafted,artifactbench,MusicGen,860,90,-0.017454780361757,-0.02595768733850127,-0.01010303617571053,0.0040745426784071
fixed_fusion,artifactbench,MusicGen,860,90,-0.0044702842377258,-0.009574450904392812,-0.0011560077519379337,0.0022868679992548
trajectory,artifactbench,Suno,860,479,-0.0308394426372771,-0.03618779433898141,-0.025484233140748703,0.002759351625747
trajectory_centred,artifactbench,Suno,860,479,-0.0282832451327863,-0.0332332985386221,-0.023289556731562824,0.002544837190819
mean_pooling,artifactbench,Suno,860,479,-0.0745776083895711,-0.088457785114337,-0.06163898261882799,0.0067964532514991
attention_pooling,artifactbench,Suno,860,479,-0.0800395688692526,-0.09543513618488121,-0.06530417051026846,0.0075295160698725
fingerprint,artifactbench,Suno,860,479,-0.0170947225324076,-0.022306161091421084,-0.012324489003252876,0.0025601077145968
three_support,artifactbench,Suno,860,479,-0.0325241540030102,-0.04064633199009556,-0.025359882507161282,0.0039028199688617
single_support,artifactbench,Suno,860,479,-0.0347744817206389,-0.04424030198572605,-0.026017927368063295,0.0046941879480611
handcrafted,artifactbench,Suno,860,479,0.0005267757440403,-0.00142745302713993,0.002452298878477377,0.0009844207282268
fixed_fusion,artifactbench,Suno,860,479,-0.0132762052726124,-0.017365150264601642,-0.009502567121425411,0.0020298871298768
trajectory,artifactbench,Udio,860,405,-0.070970427792133,-0.08282464829170251,-0.059580677576801654,0.0058643966032261
trajectory_centred,artifactbench,Udio,860,405,-0.0660063163939133,-0.07675078954923908,-0.05502698822853868,0.0055054907388577
mean_pooling,artifactbench,Udio,860,405,-0.1018389319552109,-0.12118001722652888,-0.08450276342233708,0.0091717716412993
attention_pooling,artifactbench,Udio,860,405,-0.1402627045650302,-0.16267574648291702,-0.11997613407981632,0.0105496312803063
fingerprint,artifactbench,Udio,860,405,-0.1210335917312659,-0.1409893769738731,-0.10037769164513351,0.0104328477790644
three_support,artifactbench,Udio,860,405,-0.4512948607522251,-0.4825645994832042,-0.4218489089865059,0.0152882446222299
