system,trainer,pool,n_human,n_generated,auroc,in_corpus
clam,artifactbench,FMC: MusicCaps 10 s,1102,3614,0.6589668932172424,False
clam,artifactbench,Echoes: FMA 30 s,59,3614,0.742160899702663,False
clam,artifactbench,SONICS: YouTube full,2500,3614,0.8004120641947979,False
clam,artifactbench,AB: FMA mp3 30 s,148,3614,0.7409155835414828,True
clam,artifactbench,AB: MoM YouTube,347,3614,0.8683418151313576,True
clam,artifactbench,AB: SONICS YouTube,294,3614,0.8544191334530491,True
clam,artifactbench,AB: YouTube lossless,73,3614,0.840775219655677,True
clam,echoes,FMC: MusicCaps 10 s,1102,3614,0.623354980681098,False
clam,echoes,Echoes: FMA 30 s,59,3614,0.601793402305535,True
clam,echoes,SONICS: YouTube full,2500,3614,0.5079990592141671,False
clam,echoes,AB: FMA mp3 30 s,148,3614,0.6421910288816762,False
clam,echoes,AB: MoM YouTube,347,3614,0.4611565015334219,False
clam,echoes,AB: SONICS YouTube,294,3614,0.46353560793437465,False
clam,echoes,AB: YouTube lossless,73,3614,0.2979205676554647,False
clam,fakemusiccaps,FMC: MusicCaps 10 s,1102,3614,0.4911784379560431,True
clam,fakemusiccaps,Echoes: FMA 30 s,59,3614,0.7252867849136597,False
clam,fakemusiccaps,SONICS: YouTube full,2500,3614,0.7403824017708909,False
clam,fakemusiccaps,AB: FMA mp3 30 s,148,3614,0.6075771399512406,False
clam,fakemusiccaps,AB: MoM YouTube,347,3614,0.7948404300279572,False
clam,fakemusiccaps,AB: SONICS YouTube,294,3614,0.783579729622895,False
clam,fakemusiccaps,AB: YouTube lossless,73,3614,0.7789153292750415,False
clam,sonics,FMC: MusicCaps 10 s,1102,3614,0.5779018276374294,False
clam,sonics,Echoes: FMA 30 s,59,3614,0.7740613246039413,False
clam,sonics,SONICS: YouTube full,2500,3614,0.777716491422247,True
clam,sonics,AB: FMA mp3 30 s,148,3614,0.7587871490749188,False
clam,sonics,AB: MoM YouTube,155,3614,0.8469214702679544,False
clam,sonics,AB: SONICS YouTube,294,3614,0.8145910273351178,False
clam,sonics,AB: YouTube lossless,73,3614,0.8247492627604976,False
comoe_xcodec,artifactbench,FMC: MusicCaps 10 s,1102,3614,0.7024816277091408,False
comoe_xcodec,artifactbench,Echoes: FMA 30 s,59,3614,0.8005496515434327,False
comoe_xcodec,artifactbench,SONICS: YouTube full,2500,3614,0.8862418372993914,False
comoe_xcodec,artifactbench,AB: FMA mp3 30 s,148,3614,0.746638448077297,True
comoe_xcodec,artifactbench,AB: MoM YouTube,347,3614,0.8965000023922338,True
comoe_xcodec,artifactbench,AB: SONICS YouTube,294,3614,0.8997455097146773,True
comoe_xcodec,artifactbench,AB: YouTube lossless,73,3614,0.8731606916784802,True
comoe_xcodec,echoes,FMC: MusicCaps 10 s,1102,3614,0.6848805612776288,False
comoe_xcodec,echoes,Echoes: FMA 30 s,59,3614,0.8238441841051278,True
comoe_xcodec,echoes,SONICS: YouTube full,2500,3614,0.8206154399557276,False
comoe_xcodec,echoes,AB: FMA mp3 30 s,148,3614,0.7911771414469257,False
comoe_xcodec,echoes,AB: MoM YouTube,347,3614,0.8289082323146139,False
comoe_xcodec,echoes,AB: SONICS YouTube,294,3614,0.8356241223661574,False
comoe_xcodec,echoes,AB: YouTube lossless,73,3614,0.7805907013061837,False
comoe_xcodec,fakemusiccaps,FMC: MusicCaps 10 s,1102,3614,0.5640785431127386,True
comoe_xcodec,fakemusiccaps,Echoes: FMA 30 s,59,3614,0.4442610188250964,False
comoe_xcodec,fakemusiccaps,SONICS: YouTube full,2500,3614,0.6777275041505257,False
comoe_xcodec,fakemusiccaps,AB: FMA mp3 30 s,148,3614,0.4606784426928312,False
comoe_xcodec,fakemusiccaps,AB: MoM YouTube,347,3614,0.6838272233022715,False
comoe_xcodec,fakemusiccaps,AB: SONICS YouTube,294,3614,0.6611467497901208,False
comoe_xcodec,fakemusiccaps,AB: YouTube lossless,73,3614,0.6985164239525135,False
comoe_xcodec,sonics,FMC: MusicCaps 10 s,1102,3614,0.4647825506173311,False
comoe_xcodec,sonics,Echoes: FMA 30 s,59,3614,0.5669430557249115,False
comoe_xcodec,sonics,SONICS: YouTube full,2500,3614,0.5575043165467626,True
comoe_xcodec,sonics,AB: FMA mp3 30 s,148,3614,0.45227175847679446,False
comoe_xcodec,sonics,AB: MoM YouTube,155,3614,0.5209222200403449,False
comoe_xcodec,sonics,AB: SONICS YouTube,294,3614,0.5402539820576819,False
comoe_xcodec,sonics,AB: YouTube lossless,73,3614,0.5565059017064535,False
fst_mert,artifactbench,FMC: MusicCaps 10 s,1102,3614,0.8464082008161445,False
fst_mert,artifactbench,Echoes: FMA 30 s,59,3614,0.9611398234736852,False
fst_mert,artifactbench,SONICS: YouTube full,2500,3614,0.980186386275595,False
fst_mert,artifactbench,AB: FMA mp3 30 s,150,3614,0.9296126175982291,True
fst_mert,artifactbench,AB: MoM YouTube,347,3614,0.9886081823966675,True
