system,trainer,generator,n_human,n_generated,auroc
three_support,artifactbench,acestep1.5,1102,989,0.9974428330510386
three_support,artifactbench,heartmula,1102,989,0.994518652546432
three_support,artifactbench,minimax_2.6,1102,304,0.686431368803133
three_support,artifactbench,mureka_v9,1102,662,0.4682107785350448
three_support,artifactbench,suno_v5.5,1102,330,0.984337018093824
three_support,artifactbench,sunov5_new,1102,340,0.9108118928152024
single_support,artifactbench,acestep1.5,1102,989,0.9860819284360268
single_support,artifactbench,heartmula,1102,989,0.9393299066501022
single_support,artifactbench,minimax_2.6,1102,304,0.6418443738656987
single_support,artifactbench,mureka_v9,1102,662,0.432638268240661
single_support,artifactbench,suno_v5.5,1102,330,0.9193449925754826
single_support,artifactbench,sunov5_new,1102,340,0.8100138785096616
fingerprint,artifactbench,acestep1.5,1102,989,0.857365686801642
fingerprint,artifactbench,heartmula,1102,989,0.8859789811336681
fingerprint,artifactbench,minimax_2.6,1102,304,0.541607961600917
fingerprint,artifactbench,mureka_v9,1102,662,0.4746876045202077
fingerprint,artifactbench,suno_v5.5,1102,330,0.8791261068030578
fingerprint,artifactbench,sunov5_new,1102,340,0.728832603821928
trajectory,artifactbench,acestep1.5,1102,989,0.8380708666474597
trajectory,artifactbench,heartmula,1102,989,0.8718535469107551
trajectory,artifactbench,minimax_2.6,1102,304,0.7619071783360398
trajectory,artifactbench,mureka_v9,1102,662,0.7386926269732045
trajectory,artifactbench,suno_v5.5,1102,330,0.8396854204476709
trajectory,artifactbench,sunov5_new,1102,340,0.7363643642574997
mean_pooling,artifactbench,acestep1.5,1102,989,0.976887780100158
mean_pooling,artifactbench,heartmula,1102,989,0.8764448864918826
mean_pooling,artifactbench,minimax_2.6,1102,304,0.8963174013754897
mean_pooling,artifactbench,mureka_v9,1102,662,0.7098450496488121
mean_pooling,artifactbench,suno_v5.5,1102,330,0.9574245174063688
mean_pooling,artifactbench,sunov5_new,1102,340,0.8369341838368741
attention_pooling,artifactbench,acestep1.5,1102,989,0.9830444324961144
attention_pooling,artifactbench,heartmula,1102,989,0.9393592677345538
attention_pooling,artifactbench,minimax_2.6,1102,304,0.9434729916897509
attention_pooling,artifactbench,mureka_v9,1102,662,0.7788996660836381
attention_pooling,artifactbench,suno_v5.5,1102,330,0.9814758290711104
attention_pooling,artifactbench,sunov5_new,1102,340,0.8982278210739831
muq_fst,artifactbench,acestep1.5,1102,989,0.9753908235600682
muq_fst,artifactbench,heartmula,1102,989,0.8268173134974739
muq_fst,artifactbench,minimax_2.6,1102,304,0.9126349221511127
muq_fst,artifactbench,mureka_v9,1102,662,0.7020180281937264
muq_fst,artifactbench,suno_v5.5,1102,330,0.954109607875488
muq_fst,artifactbench,sunov5_new,1102,340,0.8541622184263906
clam,artifactbench,acestep1.5,1102,989,0.7134504962940805
clam,artifactbench,heartmula,1102,989,0.743889683065444
clam,artifactbench,minimax_2.6,1102,304,0.7275050148056167
clam,artifactbench,mureka_v9,1102,662,0.5271121991874154
clam,artifactbench,suno_v5.5,1102,330,0.6078259913105648
clam,artifactbench,sunov5_new,1102,340,0.4985427564855343
sofia_vag,artifactbench,acestep1.5,1102,989,0.640432231864484
sofia_vag,artifactbench,heartmula,1102,989,0.6133030485981
sofia_vag,artifactbench,minimax_2.6,1102,304,0.5476899059126946
sofia_vag,artifactbench,mureka_v9,1102,662,0.479394098069426
sofia_vag,artifactbench,suno_v5.5,1102,330,0.6007245779024363
sofia_vag,artifactbench,sunov5_new,1102,340,0.4827492793850753
learned_fusion,artifactbench,acestep1.5,1102,989,0.9988136286813754
learned_fusion,artifactbench,heartmula,1102,989,0.9969840661064816
learned_fusion,artifactbench,minimax_2.6,1102,304,0.8940055162861783
learned_fusion,artifactbench,mureka_v9,1102,662,0.655661773978649
learned_fusion,artifactbench,suno_v5.5,1102,330,0.9964032337898036
learned_fusion,artifactbench,sunov5_new,1102,340,0.9593359666915768
fixed_fusion,artifactbench,acestep1.5,1102,989,0.9732245260478696
fixed_fusion,artifactbench,heartmula,1102,989,0.9850767700605022
fixed_fusion,artifactbench,minimax_2.6,1102,304,0.7974242406151495
fixed_fusion,artifactbench,mureka_v9,1102,662,0.6669718885190892
fixed_fusion,artifactbench,suno_v5.5,1102,330,0.976570147940384
fixed_fusion,artifactbench,sunov5_new,1102,340,0.9049402156506886
three_support,echoes,acestep1.5,1102,989,0.998561306861869
three_support,echoes,heartmula,1102,989,0.994415888750851
three_support,echoes,minimax_2.6,1102,304,0.7161620021014423
three_support,echoes,mureka_v9,1102,662,0.4758116251144582
three_support,echoes,suno_v5.5,1102,330,0.9937771544849584
three_support,echoes,sunov5_new,1102,340,0.9548040994982384
single_support,echoes,acestep1.5,1102,989,0.9941011746268849
