system,condition,target,level,family,generator,n_human,n_generated,auroc
trajectory,artifactbench__base,artifactbench,family,DiffRhythm,DiffRhythm,860,100,0.9993837209302325
trajectory,artifactbench__base,artifactbench,family,MusicGen,MusicGen,860,90,0.9908010335917313
trajectory,artifactbench__base,artifactbench,family,Riffusion,Riffusion,860,130,0.90283542039356
trajectory,artifactbench__base,artifactbench,family,StableAudio,StableAudio,860,100,0.976732558139535
trajectory,artifactbench__base,artifactbench,family,Suno,Suno,860,479,0.9248944020973928
trajectory,artifactbench__base,artifactbench,family,Udio,Udio,860,405,0.8636434108527132
trajectory,artifactbench__base,artifactbench,family,Yue,Yue,860,100,0.9832093023255813
trajectory,artifactbench__base,artifactbench,generator,DiffRhythm,DiffRhythm,860,100,0.9993837209302325
trajectory,artifactbench__base,artifactbench,generator,MusicGen,MusicGen Large,860,30,0.9987596899224807
trajectory,artifactbench__base,artifactbench,generator,MusicGen,MusicGen Medium,860,30,0.9993023255813954
trajectory,artifactbench__base,artifactbench,generator,MusicGen,MusicGen Small,860,30,0.9743410852713178
trajectory,artifactbench__base,artifactbench,generator,Riffusion,Riffusion,860,100,0.9360232558139535
trajectory,artifactbench__base,artifactbench,generator,Riffusion,Riffusion (AIME),860,30,0.7922093023255814
trajectory,artifactbench__base,artifactbench,generator,StableAudio,Stable Audio v1,860,50,0.9832790697674418
trajectory,artifactbench__base,artifactbench,generator,StableAudio,Stable Audio v2,860,50,0.970186046511628
trajectory,artifactbench__base,artifactbench,generator,Suno,Google Chirp v2 XXL,860,80,0.9994040697674418
trajectory,artifactbench__base,artifactbench,generator,Suno,Google Chirp v3,860,80,0.999796511627907
trajectory,artifactbench__base,artifactbench,generator,Suno,Google Chirp v3.5,860,80,0.9992441860465117
trajectory,artifactbench__base,artifactbench,generator,Suno,Suno (mixed),860,80,0.8180813953488372
trajectory,artifactbench__base,artifactbench,generator,Suno,Suno v3,860,30,0.9972480620155039
trajectory,artifactbench__base,artifactbench,generator,Suno,Suno v3.5,860,29,0.9952686447473937
trajectory,artifactbench__base,artifactbench,generator,Suno,Suno v4,860,100,0.7892209302325581
trajectory,artifactbench__base,artifactbench,generator,Udio,Udio,860,100,0.886593023255814
trajectory,artifactbench__base,artifactbench,generator,Udio,Udio (AIME),860,30,0.8751937984496124
trajectory,artifactbench__base,artifactbench,generator,Udio,Udio (SONICS 120s),860,80,0.9877325581395349
trajectory,artifactbench__base,artifactbench,generator,Udio,Udio (SONICS 30s),860,80,0.9419186046511628
trajectory,artifactbench__base,artifactbench,generator,Udio,Udio (mixed),860,80,0.6827616279069767
trajectory,artifactbench__base,artifactbench,generator,Udio,Udio CDN,860,18,0.6793927648578811
trajectory,artifactbench__base,artifactbench,generator,Udio,Udio CDN Latest,860,17,0.8022571819425446
trajectory,artifactbench__base,artifactbench,generator,Yue,Yue,860,100,0.9832093023255813
trajectory,echoes__base,echoes,family,AceStep,AceStep,59,57,0.9991079393398751
trajectory,echoes__base,echoes,family,AudioLDM,AudioLDM,59,115,1.0
trajectory,echoes__base,echoes,family,Brev,Brev,59,68,0.8402293120638086
trajectory,echoes__base,echoes,family,DiffRhythm,DiffRhythm,59,120,0.9980225988700565
trajectory,echoes__base,echoes,family,Mubert,Mubert,59,32,0.5609110169491525
trajectory,echoes__base,echoes,family,Producer,Producer,59,68,0.9835493519441675
trajectory,echoes__base,echoes,family,SongGen,SongGen,59,111,1.0
trajectory,echoes__base,echoes,family,StableAudio,StableAudio,59,35,0.949636803874092
trajectory,echoes__base,echoes,family,Suno,Suno,59,68,0.7843968095712861
trajectory,echoes__base,echoes,family,Udio,Udio,59,68,0.6964107676969092
trajectory,echoes__base,echoes,generator,AceStep,acestep,59,57,0.9991079393398751
trajectory,echoes__base,echoes,generator,AudioLDM,audioldm,59,115,1.0
trajectory,echoes__base,echoes,generator,Brev,brev,59,68,0.8402293120638086
trajectory,echoes__base,echoes,generator,DiffRhythm,diffrhythm,59,120,0.9980225988700565
trajectory,echoes__base,echoes,generator,Mubert,mubert,59,32,0.5609110169491525
trajectory,echoes__base,echoes,generator,Producer,producer,59,68,0.9835493519441675
trajectory,echoes__base,echoes,generator,SongGen,songgen,59,111,1.0
trajectory,echoes__base,echoes,generator,StableAudio,stableaudio,59,35,0.949636803874092
trajectory,echoes__base,echoes,generator,Suno,suno,59,68,0.7843968095712861
trajectory,echoes__base,echoes,generator,Udio,udio,59,68,0.6964107676969092
trajectory,fakemusiccaps__base,fakemusiccaps,family,AudioLDM,AudioLDM,1102,1104,0.8821477419185144
trajectory,fakemusiccaps__base,fakemusiccaps,family,MusicGen,MusicGen,1102,1104,0.924756371814093
trajectory,fakemusiccaps__base,fakemusiccaps,family,MusicLDM,MusicLDM,1102,1104,0.8567870669928194
trajectory,fakemusiccaps__base,fakemusiccaps,family,Mustango,Mustango,1102,1104,0.897181343538757
trajectory,fakemusiccaps__base,fakemusiccaps,family,StableAudio,StableAudio,1102,1104,0.8700879823246273
trajectory,fakemusiccaps__base,fakemusiccaps,generator,AudioLDM,audioldm2,1102,1104,0.8821477419185144
trajectory,fakemusiccaps__base,fakemusiccaps,generator,MusicGen,MusicGen_medium,1102,1104,0.924756371814093
trajectory,fakemusiccaps__base,fakemusiccaps,generator,MusicLDM,musicldm,1102,1104,0.8567870669928194
trajectory,fakemusiccaps__base,fakemusiccaps,generator,Mustango,mustango,1102,1104,0.897181343538757
trajectory,fakemusiccaps__base,fakemusiccaps,generator,StableAudio,stable_audio_open,1102,1104,0.8700879823246273
trajectory,artifactbench__without_Suno,artifactbench,family,DiffRhythm,DiffRhythm,860,100,0.9994651162790698
trajectory,artifactbench__without_Suno,artifactbench,family,MusicGen,MusicGen,860,90,0.99171834625323
trajectory,artifactbench__without_Suno,artifactbench,family,Riffusion,Riffusion,860,130,0.8531574239713774
trajectory,artifactbench__without_Suno,artifactbench,family,StableAudio,StableAudio,860,100,0.9767093023255813
trajectory,artifactbench__without_Suno,artifactbench,family,Suno,Suno,860,479,0.8923678205563919
trajectory,artifactbench__without_Suno,artifactbench,family,Udio,Udio,860,405,0.8659029572207867
trajectory,artifactbench__without_Suno,artifactbench,family,Yue,Yue,860,100,0.9542441860465116
trajectory,artifactbench__without_Suno,artifactbench,generator,DiffRhythm,DiffRhythm,860,100,0.9994651162790698
trajectory,artifactbench__without_Suno,artifactbench,generator,MusicGen,MusicGen Large,860,30,0.9972480620155039
trajectory,artifactbench__without_Suno,artifactbench,generator,MusicGen,MusicGen Medium,860,30,0.9991085271317829
trajectory,artifactbench__without_Suno,artifactbench,generator,MusicGen,MusicGen Small,860,30,0.9787984496124031
trajectory,artifactbench__without_Suno,artifactbench,generator,Riffusion,Riffusion,860,100,0.8595
trajectory,artifactbench__without_Suno,artifactbench,generator,Riffusion,Riffusion (AIME),860,30,0.832015503875969
trajectory,artifactbench__without_Suno,artifactbench,generator,StableAudio,Stable Audio v1,860,50,0.9814418604651163
trajectory,artifactbench__without_Suno,artifactbench,generator,StableAudio,Stable Audio v2,860,50,0.9719767441860465
trajectory,artifactbench__without_Suno,artifactbench,generator,Suno,Google Chirp v2 XXL,860,80,0.9973401162790698
trajectory,artifactbench__without_Suno,artifactbench,generator,Suno,Google Chirp v3,860,80,0.9977616279069768
trajectory,artifactbench__without_Suno,artifactbench,generator,Suno,Google Chirp v3.5,860,80,0.9927906976744186
trajectory,artifactbench__without_Suno,artifactbench,generator,Suno,Suno (mixed),860,80,0.7436046511627907
trajectory,artifactbench__without_Suno,artifactbench,generator,Suno,Suno v3,860,30,0.9920930232558139
trajectory,artifactbench__without_Suno,artifactbench,generator,Suno,Suno v3.5,860,29,0.9847233360064154
trajectory,artifactbench__without_Suno,artifactbench,generator,Suno,Suno v4,860,100,0.7060465116279071
trajectory,artifactbench__without_Suno,artifactbench,generator,Udio,Udio,860,100,0.8851627906976743
trajectory,artifactbench__without_Suno,artifactbench,generator,Udio,Udio (AIME),860,30,0.8803100775193798
trajectory,artifactbench__without_Suno,artifactbench,generator,Udio,Udio (SONICS 120s),860,80,0.9848255813953488
trajectory,artifactbench__without_Suno,artifactbench,generator,Udio,Udio (SONICS 30s),860,80,0.9339244186046511
trajectory,artifactbench__without_Suno,artifactbench,generator,Udio,Udio (mixed),860,80,0.7043168604651162
trajectory,artifactbench__without_Suno,artifactbench,generator,Udio,Udio CDN,860,18,0.6867571059431524
trajectory,artifactbench__without_Suno,artifactbench,generator,Udio,Udio CDN Latest,860,17,0.7975376196990425
trajectory,artifactbench__without_Suno,artifactbench,generator,Yue,Yue,860,100,0.9542441860465116
trajectory,artifactbench__count_control_Suno,artifactbench,family,DiffRhythm,DiffRhythm,860,100,0.9993139534883722
trajectory,artifactbench__count_control_Suno,artifactbench,family,MusicGen,MusicGen,860,90,0.9914599483204134
trajectory,artifactbench__count_control_Suno,artifactbench,family,Riffusion,Riffusion,860,130,0.9063416815742398
trajectory,artifactbench__count_control_Suno,artifactbench,family,StableAudio,StableAudio,860,100,0.9840697674418605
trajectory,artifactbench__count_control_Suno,artifactbench,family,Suno,Suno,860,479,0.923207263193669
trajectory,artifactbench__count_control_Suno,artifactbench,family,Udio,Udio,860,405,0.8567384438702269
trajectory,artifactbench__count_control_Suno,artifactbench,family,Yue,Yue,860,100,0.9793488372093022
trajectory,artifactbench__count_control_Suno,artifactbench,generator,DiffRhythm,DiffRhythm,860,100,0.9993139534883722
trajectory,artifactbench__count_control_Suno,artifactbench,generator,MusicGen,MusicGen Large,860,30,0.9987209302325581
trajectory,artifactbench__count_control_Suno,artifactbench,generator,MusicGen,MusicGen Medium,860,30,0.9994186046511627
trajectory,artifactbench__count_control_Suno,artifactbench,generator,MusicGen,MusicGen Small,860,30,0.9762403100775193
trajectory,artifactbench__count_control_Suno,artifactbench,generator,Riffusion,Riffusion,860,100,0.9305813953488371
trajectory,artifactbench__count_control_Suno,artifactbench,generator,Riffusion,Riffusion (AIME),860,30,0.8255426356589147
trajectory,artifactbench__count_control_Suno,artifactbench,generator,StableAudio,Stable Audio v1,860,50,0.9911627906976744
trajectory,artifactbench__count_control_Suno,artifactbench,generator,StableAudio,Stable Audio v2,860,50,0.9769767441860465
trajectory,artifactbench__count_control_Suno,artifactbench,generator,Suno,Google Chirp v2 XXL,860,80,0.9988226744186046
trajectory,artifactbench__count_control_Suno,artifactbench,generator,Suno,Google Chirp v3,860,80,0.9993023255813953
