system,condition,target,n_human,n_generated,auroc
trajectory,artifactbench__base,artifactbench,860,1404,0.9225592990127875
trajectory,echoes__base,echoes,59,742,0.9145689615788752
trajectory,fakemusiccaps__base,fakemusiccaps,1102,5520,0.8861921013177622
trajectory,artifactbench__without_Suno,artifactbench,860,1404,0.9055141456304246
trajectory,artifactbench__count_control_Suno,artifactbench,860,1404,0.9206014377526005
trajectory,artifactbench__without_Udio,artifactbench,860,1404,0.9046909163188233
trajectory,artifactbench__count_control_Udio,artifactbench,860,1404,0.9192647253693765
trajectory,artifactbench__without_MusicGen,artifactbench,860,1404,0.9209095275955741
trajectory,artifactbench__count_control_MusicGen,artifactbench,860,1404,0.9244343404227124
trajectory,echoes__without_Suno,echoes,59,742,0.8985563525058249
trajectory,echoes__count_control_Suno,echoes,59,742,0.9119877564073279
trajectory,echoes__without_Udio,echoes,59,742,0.9149572844807894
trajectory,echoes__count_control_Udio,echoes,59,742,0.9124902919274523
trajectory,fakemusiccaps__without_MusicGen,fakemusiccaps,1102,5520,0.8815874957258213
trajectory,fakemusiccaps__count_control_MusicGen,fakemusiccaps,1102,5520,0.8859216773192351
trajectory,artifactbench__without_StableAudio,artifactbench,860,1404,0.9183603326045185
trajectory,artifactbench__count_control_StableAudio,artifactbench,860,1404,0.9239738620552573
trajectory,artifactbench__without_DiffRhythm,artifactbench,860,1404,0.9224930431325781
trajectory,artifactbench__count_control_DiffRhythm,artifactbench,860,1404,0.9202171536473862
trajectory,echoes__without_StableAudio,echoes,59,742,0.927429302389328
trajectory,echoes__count_control_StableAudio,echoes,59,742,0.9137694732514048
trajectory,echoes__without_AudioLDM,echoes,59,742,0.9153456073827038
trajectory,echoes__count_control_AudioLDM,echoes,59,742,0.91609941066289
trajectory,echoes__without_DiffRhythm,echoes,59,742,0.9142491662478871
trajectory,echoes__count_control_DiffRhythm,echoes,59,742,0.9141349536296771
trajectory,fakemusiccaps__without_StableAudio,fakemusiccaps,1102,5520,0.8738198335043005
trajectory,fakemusiccaps__count_control_StableAudio,fakemusiccaps,1102,5520,0.885219725663484
trajectory,fakemusiccaps__without_AudioLDM,fakemusiccaps,1102,5520,0.8800913687892895
trajectory,fakemusiccaps__count_control_AudioLDM,fakemusiccaps,1102,5520,0.8853139219863752
trajectory,artifactbench__fmc_fit_only,artifactbench,860,1404,0.8282125819916518
trajectory_centred,artifactbench__base,artifactbench,860,1404,0.8890073212747631
trajectory_centred,echoes__base,echoes,59,742,0.8788660971264104
trajectory_centred,fakemusiccaps__base,fakemusiccaps,1102,5520,0.8861921013177622
trajectory_centred,artifactbench__without_Suno,artifactbench,860,1404,0.8712697939442126
trajectory_centred,artifactbench__count_control_Suno,artifactbench,860,1404,0.8865591665010271
trajectory_centred,artifactbench__without_Udio,artifactbench,860,1404,0.8732019810508183
trajectory_centred,artifactbench__count_control_Udio,artifactbench,860,1404,0.8847959318889551
trajectory_centred,artifactbench__without_MusicGen,artifactbench,860,1404,0.8867479957596237
trajectory_centred,artifactbench__count_control_MusicGen,artifactbench,860,1404,0.8904450738753064
trajectory_centred,echoes__without_Suno,echoes,59,742,0.8609575585910731
trajectory_centred,echoes__count_control_Suno,echoes,59,742,0.8741605372561562
trajectory_centred,echoes__without_Udio,echoes,59,742,0.8760336241948011
trajectory_centred,echoes__count_control_Udio,echoes,59,742,0.8759650966238749
trajectory_centred,fakemusiccaps__without_MusicGen,fakemusiccaps,1102,5520,0.8815874957258213
trajectory_centred,fakemusiccaps__count_control_MusicGen,fakemusiccaps,1102,5520,0.8859216773192351
trajectory_centred,artifactbench__without_StableAudio,artifactbench,860,1404,0.8884159875438946
trajectory_centred,artifactbench__count_control_StableAudio,artifactbench,860,1404,0.8900964023057047
trajectory_centred,artifactbench__without_DiffRhythm,artifactbench,860,1404,0.8888110382296428
trajectory_centred,artifactbench__count_control_DiffRhythm,artifactbench,860,1404,0.8868316438083881
trajectory_centred,echoes__without_StableAudio,echoes,59,742,0.8985335099821827
trajectory_centred,echoes__count_control_StableAudio,echoes,59,742,0.8777924985152361
trajectory_centred,echoes__without_AudioLDM,echoes,59,742,0.8776097583260999
trajectory_centred,echoes__count_control_AudioLDM,echoes,59,742,0.881630042487094
trajectory_centred,echoes__without_DiffRhythm,echoes,59,742,0.8784320891772123
trajectory_centred,echoes__count_control_DiffRhythm,echoes,59,742,0.8785919868427063
trajectory_centred,fakemusiccaps__without_StableAudio,fakemusiccaps,1102,5520,0.8738198335043005
trajectory_centred,fakemusiccaps__count_control_StableAudio,fakemusiccaps,1102,5520,0.885219725663484
trajectory_centred,fakemusiccaps__without_AudioLDM,fakemusiccaps,1102,5520,0.8800913687892895
trajectory_centred,fakemusiccaps__count_control_AudioLDM,fakemusiccaps,1102,5520,0.8853139219863752
trajectory_centred,artifactbench__fmc_fit_only,artifactbench,860,1404,0.798239249983436
fingerprint,artifactbench__base,artifactbench,860,1404,0.8972835089114158
fingerprint,echoes__base,echoes,59,742,0.9074420942025675
fingerprint,fakemusiccaps__base,fakemusiccaps,1102,5520,0.9157689247481522
fingerprint,artifactbench__without_Suno,artifactbench,860,1404,0.8930133174319221
fingerprint,artifactbench__count_control_Suno,artifactbench,860,1404,0.8971758431060757
fingerprint,artifactbench__without_Udio,artifactbench,860,1404,0.8699711786921089
fingerprint,artifactbench__count_control_Udio,artifactbench,860,1404,0.8966118399257934
fingerprint,artifactbench__without_MusicGen,artifactbench,860,1404,0.895213012654873
fingerprint,artifactbench__count_control_MusicGen,artifactbench,860,1404,0.8992140396210164
fingerprint,echoes__without_Suno,echoes,59,742,0.8992873132623692
fingerprint,echoes__count_control_Suno,echoes,59,742,0.900794919822742
fingerprint,echoes__without_Udio,echoes,59,742,0.914134953629677
fingerprint,echoes__count_control_Udio,echoes,59,742,0.9118963863127597
fingerprint,fakemusiccaps__without_MusicGen,fakemusiccaps,1102,5520,0.904262013729977
fingerprint,fakemusiccaps__count_control_MusicGen,fakemusiccaps,1102,5520,0.9100849246429417
fingerprint,artifactbench__without_StableAudio,artifactbench,860,1404,0.8962399787981183
fingerprint,artifactbench__count_control_StableAudio,artifactbench,860,1404,0.9001002120188166
fingerprint,artifactbench__without_DiffRhythm,artifactbench,860,1404,0.8967385542966938
fingerprint,artifactbench__count_control_DiffRhythm,artifactbench,860,1404,0.897988305837143
fingerprint,echoes__without_StableAudio,echoes,59,742,0.8977568641783544
fingerprint,echoes__count_control_StableAudio,echoes,59,742,0.9129699849239344
fingerprint,echoes__without_AudioLDM,echoes,59,742,0.9060258577367629
fingerprint,echoes__count_control_AudioLDM,echoes,59,742,0.9085842203846681
fingerprint,echoes__without_DiffRhythm,echoes,59,742,0.9024167390013249
fingerprint,echoes__count_control_DiffRhythm,echoes,59,742,0.9067568184933072
fingerprint,fakemusiccaps__without_StableAudio,fakemusiccaps,1102,5520,0.9146967634603751
fingerprint,fakemusiccaps__count_control_StableAudio,fakemusiccaps,1102,5520,0.919523133170257
fingerprint,fakemusiccaps__without_AudioLDM,fakemusiccaps,1102,5520,0.9216746889713039
fingerprint,fakemusiccaps__count_control_AudioLDM,fakemusiccaps,1102,5520,0.9178152699965807
fingerprint,artifactbench__fmc_fit_only,artifactbench,860,1404,0.8300867952030743
three_support,artifactbench__base,artifactbench,860,1404,0.9744691247598224
three_support,echoes__base,echoes,59,742,0.9286399561423546
three_support,fakemusiccaps__base,fakemusiccaps,1102,5520,0.9807956219258792
three_support,artifactbench__without_Suno,artifactbench,860,1404,0.9639886868084542
three_support,artifactbench__count_control_Suno,artifactbench,860,1404,0.9675884516000794
three_support,artifactbench__without_Udio,artifactbench,860,1404,0.8341168091168092
three_support,artifactbench__count_control_Udio,artifactbench,860,1404,0.9624569336778638
three_support,artifactbench__without_MusicGen,artifactbench,860,1404,0.9779475584708142
three_support,artifactbench__count_control_MusicGen,artifactbench,860,1404,0.9775848075266681
three_support,echoes__without_Suno,echoes,59,742,0.9046324637945999
three_support,echoes__count_control_Suno,echoes,59,742,0.9261501210653754
three_support,echoes__without_Udio,echoes,59,742,0.9099776143268308
three_support,echoes__count_control_Udio,echoes,59,742,0.9335967837726712
three_support,fakemusiccaps__without_MusicGen,fakemusiccaps,1102,5520,0.9753845116915227
three_support,fakemusiccaps__count_control_MusicGen,fakemusiccaps,1102,5520,0.9809972480864831
three_support,artifactbench__without_StableAudio,artifactbench,860,1404,0.9628271384085338
three_support,artifactbench__count_control_StableAudio,artifactbench,860,1404,0.9744923143178956
three_support,artifactbench__without_DiffRhythm,artifactbench,860,1404,0.9766688199827736
three_support,artifactbench__count_control_DiffRhythm,artifactbench,860,1404,0.9761064731994964
three_support,echoes__without_StableAudio,echoes,59,742,0.9166704737539404
three_support,echoes__count_control_StableAudio,echoes,59,742,0.9397185801087304
three_support,echoes__without_AudioLDM,echoes,59,742,0.9233176481337658
three_support,echoes__count_control_AudioLDM,echoes,59,742,0.9303988304627895
three_support,echoes__without_DiffRhythm,echoes,59,742,0.9389419343049021
three_support,echoes__count_control_DiffRhythm,echoes,59,742,0.9361551464205766
three_support,fakemusiccaps__without_StableAudio,fakemusiccaps,1102,5520,0.9799948709855597
three_support,fakemusiccaps__count_control_StableAudio,fakemusiccaps,1102,5520,0.97789509850338
three_support,fakemusiccaps__without_AudioLDM,fakemusiccaps,1102,5520,0.9706552973513243
three_support,fakemusiccaps__count_control_AudioLDM,fakemusiccaps,1102,5520,0.9819856519108866
three_support,artifactbench__fmc_fit_only,artifactbench,860,1404,0.812422149340754
single_support,artifactbench__base,artifactbench,860,1404,0.943984794275492
single_support,echoes__base,echoes,59,742,0.9200968523002421
single_support,fakemusiccaps__base,fakemusiccaps,1102,5520,0.9717318972092901
single_support,artifactbench__without_Suno,artifactbench,860,1404,0.9321904193997217
single_support,artifactbench__count_control_Suno,artifactbench,860,1404,0.9447318293248526
single_support,artifactbench__without_Udio,artifactbench,860,1404,0.8266373484396741
single_support,artifactbench__count_control_Udio,artifactbench,860,1404,0.9341747830119922
single_support,artifactbench__without_MusicGen,artifactbench,860,1404,0.9482102630358445
single_support,artifactbench__count_control_MusicGen,artifactbench,860,1404,0.9474922149340753
single_support,echoes__without_Suno,echoes,59,742,0.906322810544109
single_support,echoes__count_control_Suno,echoes,59,742,0.9178811275069669
single_support,echoes__without_Udio,echoes,59,742,0.8944675407739048
single_support,echoes__count_control_Udio,echoes,59,742,0.9248937822650647
single_support,fakemusiccaps__without_MusicGen,fakemusiccaps,1102,5520,0.9692836147715616
single_support,fakemusiccaps__count_control_MusicGen,fakemusiccaps,1102,5520,0.972188083589784
single_support,artifactbench__without_StableAudio,artifactbench,860,1404,0.9389982110912344
single_support,artifactbench__count_control_StableAudio,artifactbench,860,1404,0.9478541376797192
single_support,artifactbench__without_DiffRhythm,artifactbench,860,1404,0.9434862187769164
single_support,artifactbench__count_control_DiffRhythm,artifactbench,860,1404,0.9441678261445702
single_support,echoes__without_StableAudio,echoes,59,742,0.8975512814655764
single_support,echoes__count_control_StableAudio,echoes,59,742,0.9145004340079492
single_support,echoes__without_AudioLDM,echoes,59,742,0.9044497236054639
