system,trainer,target,n_human,n_generated,auroc,in_summary
fixed_fusion,artifactbench,echoes,59,742,0.9519850153044908,True
fixed_fusion,artifactbench,fakemusiccaps,1102,5520,0.9549523757857916,True
fixed_fusion,artifactbench,sonics,6882,12778,0.9946136033993692,False
fixed_fusion,artifactbench,music8k,1102,3614,0.8994632438681193,False
fixed_fusion,echoes,artifactbench,862,1404,0.9287836046826766,True
fixed_fusion,echoes,fakemusiccaps,1102,5520,0.9513956837370788,True
fixed_fusion,echoes,sonics,6882,12778,0.9185628620355141,False
fixed_fusion,echoes,music8k,1102,3614,0.9107584238347142,False
fixed_fusion,fakemusiccaps,artifactbench,862,1404,0.8704455615708515,True
fixed_fusion,fakemusiccaps,echoes,59,742,0.923546073370186,True
fixed_fusion,fakemusiccaps,sonics,6882,12778,0.8284217304162118,False
fixed_fusion,fakemusiccaps,music8k,1102,3614,0.8966323241839308,False
fixed_fusion,sonics,artifactbench,670,1258,0.8769024511781317,True
fixed_fusion,sonics,echoes,59,742,0.8664854493124401,True
fixed_fusion,sonics,fakemusiccaps,1102,5520,0.855191318814277,True
fixed_fusion,sonics,music8k,1102,3614,0.8061243731526018,False
learned_fusion,artifactbench,echoes,59,742,0.9649824112567957,True
learned_fusion,artifactbench,fakemusiccaps,1102,5520,0.9718030787237959,True
learned_fusion,artifactbench,sonics,2500,2500,0.9999975999999999,False
learned_fusion,artifactbench,music8k,1102,3614,0.9227053091576717,False
learned_fusion,echoes,artifactbench,862,1404,0.930384516231384,True
learned_fusion,echoes,fakemusiccaps,1102,5520,0.9877500394539573,True
learned_fusion,echoes,sonics,2500,2500,0.93783728,False
learned_fusion,echoes,music8k,1102,3614,0.9164340731798198,False
learned_fusion,fakemusiccaps,artifactbench,862,1404,0.8708149073578307,True
learned_fusion,fakemusiccaps,echoes,59,742,0.8686783315820732,True
learned_fusion,fakemusiccaps,sonics,2500,2500,0.93434336,False
learned_fusion,fakemusiccaps,music8k,1102,3614,0.8403556646515817,False
learned_fusion,sonics,artifactbench,670,1258,0.9212111145385947,True
learned_fusion,sonics,echoes,59,742,0.8873635159212389,True
learned_fusion,sonics,fakemusiccaps,1102,5520,0.9512069623083195,True
learned_fusion,sonics,music8k,1102,3614,0.8019182308766974,False
three_support,artifactbench,echoes,59,742,0.8965690529489698,True
three_support,artifactbench,fakemusiccaps,1102,5520,0.9449138917383414,True
three_support,artifactbench,sonics,6882,12778,0.9973264291207429,False
three_support,artifactbench,music8k,1102,3614,0.8641914333952354,False
three_support,echoes,artifactbench,864,1405,0.8810440556214578,True
three_support,echoes,fakemusiccaps,1102,5520,0.981957869749336,True
three_support,echoes,sonics,6882,12778,0.8181794347930449,False
three_support,echoes,music8k,1102,3614,0.8733632666671355,False
three_support,fakemusiccaps,artifactbench,864,1405,0.8159969355476472,True
three_support,fakemusiccaps,echoes,59,742,0.87386358444881,True
three_support,fakemusiccaps,sonics,6882,12778,0.7489989162388548,False
three_support,fakemusiccaps,music8k,1102,3614,0.9014405814452167,False
three_support,sonics,artifactbench,672,1259,0.9158983887439011,True
three_support,sonics,echoes,59,742,0.7725113070492029,True
three_support,sonics,fakemusiccaps,1102,5520,0.9196904015097714,True
