system,trainer,target,subset,n_generated,n_human,auroc
fixed_fusion,artifactbench,echoes,all,742,59,0.9519850153044908
fixed_fusion,artifactbench,echoes,seen_brand_seen_class,359,59,0.9549124215098438
fixed_fusion,artifactbench,echoes,unseen_brand_seen_class,179,59,0.9847552315121674
fixed_fusion,artifactbench,echoes,seen_brand_unseen_class,0,59,
fixed_fusion,artifactbench,echoes,strict_unseen,204,59,0.9180790960451979
fixed_fusion,artifactbench,echoes,strict_unseen_disclosed,204,59,0.9180790960451979
fixed_fusion,artifactbench,fakemusiccaps,all,5520,1102,0.9549523757857916
fixed_fusion,artifactbench,fakemusiccaps,seen_brand_seen_class,2208,1102,0.980212813001394
fixed_fusion,artifactbench,fakemusiccaps,unseen_brand_seen_class,0,1102,
fixed_fusion,artifactbench,fakemusiccaps,seen_brand_unseen_class,0,1102,
fixed_fusion,artifactbench,fakemusiccaps,strict_unseen,3312,1102,0.9381120843087228
fixed_fusion,artifactbench,fakemusiccaps,strict_unseen_disclosed,3312,1102,0.9381120843087228
fixed_fusion,artifactbench,sonics,all,12778,6882,0.9946136033993692
fixed_fusion,artifactbench,sonics,seen_brand_seen_class,12778,6882,0.9946136033993692
fixed_fusion,artifactbench,sonics,unseen_brand_seen_class,0,6882,
fixed_fusion,artifactbench,sonics,seen_brand_unseen_class,0,6882,
fixed_fusion,artifactbench,sonics,strict_unseen,0,6882,
fixed_fusion,artifactbench,sonics,strict_unseen_disclosed,0,6882,
fixed_fusion,artifactbench,music8k,all,3614,1102,0.8994632438681193
fixed_fusion,artifactbench,music8k,seen_brand_seen_class,670,1102,0.940220630062031
fixed_fusion,artifactbench,music8k,unseen_brand_seen_class,1651,1102,0.850426678655954
fixed_fusion,artifactbench,music8k,seen_brand_unseen_class,0,1102,
fixed_fusion,artifactbench,music8k,strict_unseen,1293,1102,0.9409573818537064
fixed_fusion,artifactbench,music8k,strict_unseen_disclosed,1293,1102,0.9409573818537064
fixed_fusion,echoes,artifactbench,all,1404,862,0.9287836046826766
fixed_fusion,echoes,artifactbench,seen_brand_seen_class,1004,862,0.9273930958301364
fixed_fusion,echoes,artifactbench,unseen_brand_seen_class,180,862,0.9286349574632637
fixed_fusion,echoes,artifactbench,seen_brand_unseen_class,130,862,0.9111636623237552
